listing_id,old_price,new_price,changed_at
99,45.00,40.00,2026-08-29T04:41:49.516823+00:00
14004,16.00,11.00,2026-08-29T04:41:49.516823+00:00
110,20.00,18.75,2026-08-29T04:41:56.771127+00:00
345,24.00,23.00,2026-08-29T04:41:56.771127+00:00
14014,18.00,15.00,2026-08-29T04:41:56.771127+00:00
14061,14.00,12.00,2026-08-29T04:42:03.997986+00:00
372,23.00,20.00,2026-08-29T04:42:03.997986+00:00
279,20.00,18.00,2026-08-29T04:42:03.997986+00:00
327,25.00,24.00,2026-08-29T04:42:13.058898+00:00
449,30.00,25.00,2026-08-29T04:42:13.058898+00:00
262,19.50,19.00,2026-08-29T04:42:13.058898+00:00
14081,35.00,30.00,2026-08-29T04:42:13.058898+00:00
444,20.00,17.00,2026-08-29T04:42:18.862228+00:00
14159,13.00,12.00,2026-08-29T04:43:02.629062+00:00
1090,12.00,9.00,2026-08-29T04:43:02.629062+00:00
1390,19.99,17.99,2026-08-29T04:43:08.939191+00:00
1133,45.00,40.00,2026-08-29T04:43:08.939191+00:00
1247,22.99,20.00,2026-08-29T04:43:08.939191+00:00
1165,19.00,14.00,2026-08-29T04:43:08.939191+00:00
1172,42.00,40.00,2026-08-29T04:43:15.823016+00:00
1241,18.99,17.99,2026-08-29T04:43:15.823016+00:00
14187,40.00,37.00,2026-08-29T04:43:15.823016+00:00
1345,22.99,20.00,2026-08-29T04:43:21.568175+00:00
1452,50.00,40.00,2026-08-29T04:43:28.562621+00:00
1528,25.00,23.00,2026-08-29T04:43:37.013557+00:00
1614,6.49,5.85,2026-08-29T04:43:53.073404+00:00
1667,107.50,99.00,2026-08-29T04:43:59.209298+00:00
14343,55.00,45.00,2026-08-29T04:43:59.209298+00:00
1081,13.00,11.00,2026-08-29T04:44:13.453447+00:00
2131,15.00,14.00,2026-08-29T04:44:13.453447+00:00
2085,14.99,8.99,2026-08-29T04:44:13.453447+00:00
2155,6.00,5.00,2026-08-29T04:44:28.826437+00:00
2156,6.00,5.00,2026-08-29T04:44:28.826437+00:00
2284,16.00,15.00,2026-08-29T04:44:35.612466+00:00
2445,85.00,80.00,2026-08-29T04:44:49.397659+00:00
2589,6.00,4.00,2026-08-29T04:45:10.619747+00:00
2707,7.50,5.36,2026-08-29T04:45:10.619747+00:00
3051,30.00,28.00,2026-08-29T04:45:28.277319+00:00
3068,7.00,6.00,2026-08-29T04:45:34.692025+00:00
3233,18.00,15.00,2026-08-29T04:45:34.692025+00:00
3278,6.00,5.00,2026-08-29T04:45:57.918660+00:00
3355,18.99,16.00,2026-08-29T04:46:04.575954+00:00
3428,24.99,19.99,2026-08-29T04:46:04.575954+00:00
3449,29.99,19.99,2026-08-29T04:46:04.575954+00:00
14936,290.00,240.00,2026-08-29T04:46:26.484042+00:00
3854,1.50,1.00,2026-08-29T04:46:26.484042+00:00
3972,27.00,25.00,2026-08-29T04:46:44.627871+00:00
4012,10.00,9.50,2026-08-29T04:46:44.627871+00:00
4041,11.50,11.00,2026-08-29T04:46:44.627871+00:00
4148,27.24,25.99,2026-08-29T04:46:59.132990+00:00
4176,5.00,3.50,2026-08-29T04:47:09.272354+00:00
15066,30.00,28.00,2026-08-29T04:47:09.272354+00:00
4238,30.00,27.99,2026-08-29T04:47:19.128630+00:00
4286,35.00,29.00,2026-08-29T04:47:19.128630+00:00
4378,16.00,13.00,2026-08-29T04:47:19.128630+00:00
4365,29.99,22.00,2026-08-29T04:47:28.670913+00:00
4495,14.00,12.00,2026-08-29T04:47:41.773881+00:00
4459,30.00,28.50,2026-08-29T04:47:41.773881+00:00
4542,25.00,23.00,2026-08-29T04:47:51.153333+00:00
4548,60.00,55.55,2026-08-29T04:47:51.153333+00:00
4570,60.00,50.00,2026-08-29T04:47:51.153333+00:00
4591,25.00,22.00,2026-08-29T04:48:00.905443+00:00
5048,28.00,25.00,2026-08-29T04:48:07.415791+00:00
4996,21.63,20.99,2026-08-29T04:48:07.415791+00:00
5119,20.99,20.00,2026-08-29T04:48:17.272000+00:00
5184,3.00,2.50,2026-08-29T04:48:24.846317+00:00
5323,5.00,4.00,2026-08-29T04:48:31.685912+00:00
15271,30.00,20.00,2026-08-29T04:48:31.685912+00:00
5211,12.00,11.00,2026-08-29T04:48:31.685912+00:00
5291,6.00,4.50,2026-08-29T04:48:31.685912+00:00
5366,25.00,20.00,2026-08-29T04:48:40.056465+00:00
5854,3.00,2.00,2026-08-29T04:49:23.152245+00:00
15506,42.00,36.00,2026-08-29T04:49:48.026630+00:00
6306,20.00,18.00,2026-08-29T04:49:48.026630+00:00
15491,28.00,20.00,2026-08-29T04:49:48.026630+00:00
6319,20.00,18.00,2026-08-29T04:49:56.606041+00:00
15546,15.00,10.00,2026-08-29T04:50:05.537262+00:00
6256,24.99,19.00,2026-08-29T04:50:05.537262+00:00
15490,38.00,30.00,2026-08-29T04:50:05.537262+00:00
15541,39.99,35.00,2026-08-29T04:50:15.929762+00:00
6419,25.00,20.00,2026-08-29T04:50:15.929762+00:00
15539,70.00,60.00,2026-08-29T04:50:15.929762+00:00
15531,55.00,52.00,2026-08-29T04:50:15.929762+00:00
6547,71.99,69.99,2026-08-29T04:50:15.929762+00:00
6590,39.99,35.00,2026-08-29T04:50:15.929762+00:00
6269,50.00,35.00,2026-08-29T04:50:24.341929+00:00
6649,35.00,30.00,2026-08-29T04:50:24.341929+00:00
6694,45.00,38.00,2026-08-29T04:50:24.341929+00:00
6520,25.00,22.00,2026-08-29T04:50:24.341929+00:00
15563,35.00,30.00,2026-08-29T04:50:30.873076+00:00
6801,3.50,2.95,2026-08-29T04:50:30.873076+00:00
6779,10.00,6.00,2026-08-29T04:50:30.873076+00:00
6504,18.00,15.00,2026-08-29T04:50:37.676532+00:00
6923,35.00,32.00,2026-08-29T04:50:51.564694+00:00
15642,24.95,19.95,2026-08-29T04:50:51.564694+00:00
15644,23.95,19.95,2026-08-29T04:50:51.564694+00:00
15649,24.95,19.95,2026-08-29T04:50:51.564694+00:00
15645,23.95,19.95,2026-08-29T04:50:51.564694+00:00
15641,24.95,19.95,2026-08-29T04:50:51.564694+00:00
15643,23.95,19.95,2026-08-29T04:50:51.564694+00:00
15646,24.95,19.95,2026-08-29T04:50:51.564694+00:00
15647,24.95,19.95,2026-08-29T04:50:51.564694+00:00
15648,24.95,19.95,2026-08-29T04:50:51.564694+00:00
7019,13.00,12.00,2026-08-29T04:50:51.564694+00:00
6988,13.00,12.00,2026-08-29T04:50:57.705604+00:00
7026,10.00,8.00,2026-08-29T04:50:57.705604+00:00
7148,40.00,37.99,2026-08-29T04:51:06.478628+00:00
7155,18.00,16.00,2026-08-29T04:51:14.709285+00:00
7773,22.00,19.99,2026-08-29T04:51:14.709285+00:00
15789,19.00,18.50,2026-08-29T04:51:14.709285+00:00
7419,12.50,10.00,2026-08-29T04:51:22.069268+00:00
7321,30.00,25.00,2026-08-29T04:51:22.069268+00:00
7260,32.00,30.00,2026-08-29T04:51:22.069268+00:00
7340,27.00,20.00,2026-08-29T04:51:22.069268+00:00
7329,17.00,15.00,2026-08-29T04:51:30.357186+00:00
7655,35.00,33.00,2026-08-29T04:51:30.357186+00:00
7360,10.00,8.00,2026-08-29T04:51:30.357186+00:00
7475,18.00,15.00,2026-08-29T04:51:44.106570+00:00
7623,65.00,51.99,2026-08-29T04:51:51.644356+00:00
15811,34.50,32.50,2026-08-29T04:51:51.644356+00:00
7556,20.00,18.00,2026-08-29T04:51:57.422647+00:00
7545,24.25,21.25,2026-08-29T04:51:57.422647+00:00
7634,40.00,39.00,2026-08-29T04:51:57.422647+00:00
7846,8.10,7.75,2026-08-29T04:52:04.300233+00:00
15969,22.00,20.00,2026-08-29T04:52:04.300233+00:00
7947,4.00,1.50,2026-08-29T04:52:14.067874+00:00
7918,6.00,5.50,2026-08-29T04:52:14.067874+00:00
15954,25.00,23.00,2026-08-29T04:52:14.067874+00:00
15939,7.00,6.00,2026-08-29T04:52:27.386662+00:00
15947,9.99,8.99,2026-08-29T04:52:36.751131+00:00
8366,25.00,22.00,2026-08-29T04:52:44.252128+00:00
8374,100.00,99.00,2026-08-29T04:52:50.219051+00:00
16273,10.00,8.00,2026-08-29T04:53:22.833429+00:00
16393,40.00,36.00,2026-08-29T04:53:36.949676+00:00
16499,3.00,4.00,2026-08-29T04:53:36.949676+00:00
10046,6.00,4.50,2026-08-29T04:54:49.756073+00:00
10291,7.00,6.00,2026-08-29T04:54:49.756073+00:00
10375,5.21,5.22,2026-08-29T04:55:18.015215+00:00
10948,5.00,4.00,2026-08-29T04:55:24.453004+00:00
